,Age,Gender,Location,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video Category,Video Length,Engagement,Importance Score,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,ProductivityLoss,Satisfaction,Watch Reason,DeviceType,OS,Self Control,Addiction Level,CurrentActivity,ConnectionType,Clusters,DB_Clusters
0,56,Male,Pakistan,82812,True,True,Engineer,Rural,Instagram,80,17,Pranks,24,7867,5,26,22,87,Night,3,7,Procrastination,Smartphone,Android,5,5,Commuting,Mobile Data,1,0
1,46,Female,Mexico,27999,False,True,Artist,Urban,Instagram,228,14,Pranks,19,5944,6,25,31,46,Afternoon,5,5,Habit,Computer,Android,7,3,At school,Wi-Fi,2,1
2,32,Female,United States,42436,False,True,Engineer,Rural,Facebook,30,6,Vlogs,19,8674,3,9,7,88,Evening,6,4,Entertainment,Tablet,Android,8,2,At home,Mobile Data,2,1
3,60,Male,Barzil,62963,True,False,Waiting staff,Rural,YouTube,101,19,Vlogs,4,2477,2,6,41,93,Night,3,7,Habit,Smartphone,Android,5,5,Commuting,Mobile Data,1,0
4,25,Male,Pakistan,22096,False,True,Manager,Urban,TikTok,136,6,Gaming,19,3093,7,13,21,4,Morning,8,2,Boredom,Smartphone,iOS,10,0,At home,Mobile Data,2,1
5,38,Male,Vietnam,45279,False,False,driver,Urban,Instagram,89,18,Jokes/Memes,9,8534,5,27,16,38,Night,3,7,Entertainment,Computer,Android,5,5,At home,Wi-Fi,3,2
6,56,Male,India,46201,False,False,Students,Rural,TikTok,247,5,Vlogs,16,7207,9,22,20,63,Morning,8,2,Habit,Smartphone,Android,10,0,At school,Wi-Fi,2,1
7,36,Male,Barzil,39715,False,False,Engineer,Rural,Instagram,191,6,Entertainment,27,9654,3,28,43,29,Night,3,7,Entertainment,Tablet,Android,5,5,At home,Mobile Data,3,2
8,40,Male,United States,49309,False,False,Waiting staff,Rural,Instagram,34,2,Vlogs,4,9394,8,20,44,19,Night,3,7,Entertainment,Computer,Android,5,5,At home,Mobile Data,3,2
9,28,Other,United States,35078,False,False,Students,Rural,YouTube,165,8,ASMR,6,9813,6,4,47,91,Evening,6,4,Boredom,Smartphone,iOS,8,2,At home,Mobile Data,2,1
10,28,Male,Indonesia,76614,True,True,Manager,Rural,Instagram,14,15,Pranks,8,6227,4,2,19,29,Afternoon,5,5,Boredom,Smartphone,Android,7,3,At home,Mobile Data,0,3
11,41,Other,Philippines,25105,False,False,Labor/Worker,Urban,TikTok,129,15,Life Hacks,27,3535,9,26,48,35,Evening,6,4,Habit,Tablet,Android,8,2,At home,Wi-Fi,2,1
12,53,Male,Japan,22839,False,False,Waiting staff,Rural,Instagram,286,11,Gaming,29,7004,5,4,32,70,Afternoon,5,5,Habit,Smartphone,Android,7,3,At school,Mobile Data,2,1
13,57,Male,Indonesia,88920,True,True,Waiting staff,Rural,Facebook,27,1,Vlogs,24,2913,6,8,15,23,Evening,6,4,Entertainment,Tablet,Android,8,2,Commuting,Wi-Fi,4,4
14,41,Other,Vietnam,63619,True,True,Cashier,Rural,YouTube,207,18,Gaming,16,9381,9,13,5,46,Evening,6,4,Boredom,Tablet,iOS,8,2,At school,Wi-Fi,4,4
15,20,Female,Philippines,62821,True,True,Students,Rural,YouTube,66,12,Entertainment,5,2340,7,10,11,44,Evening,6,4,Entertainment,Smartphone,MacOS,8,2,At school,Mobile Data,0,3
16,39,Female,Mexico,33493,False,False,Waiting staff,Rural,Facebook,102,12,ASMR,21,9795,5,18,15,48,Afternoon,5,5,Habit,Smartphone,iOS,7,3,At home,Wi-Fi,2,1
17,19,Female,Barzil,37069,False,False,Students,Rural,Facebook,28,11,ASMR,22,5289,2,9,29,52,Evening,6,4,Habit,Smartphone,Windows,8,2,At home,Mobile Data,2,1
18,41,Other,Japan,27531,False,False,Labor/Worker,Rural,Facebook,202,8,Pranks,10,597,4,1,45,8,Evening,6,4,Entertainment,Smartphone,iOS,8,2,At work,Mobile Data,2,1
19,61,Male,United States,57051,True,True,Labor/Worker,Urban,Instagram,246,7,Vlogs,23,8836,2,13,4,55,Morning,8,2,Habit,Smartphone,MacOS,10,0,At work,Mobile Data,4,4
20,47,Male,India,27736,False,False,Waiting staff,Rural,YouTube,286,2,Vlogs,13,7145,3,18,49,66,Afternoon,5,5,Habit,Tablet,iOS,7,3,Commuting,Mobile Data,2,1
21,55,Male,Barzil,27710,False,False,driver,Rural,Facebook,236,11,Entertainment,29,2902,3,15,36,77,Afternoon,5,5,Boredom,Computer,Android,7,3,Commuting,Mobile Data,2,1
22,19,Female,Indonesia,87155,True,False,Students,Rural,Instagram,242,10,Entertainment,26,6645,4,2,48,40,Night,3,7,Boredom,Smartphone,Android,5,5,At work,Mobile Data,1,0
23,38,Female,India,33975,False,False,Waiting staff,Urban,Facebook,49,3,Pranks,14,8955,6,11,23,85,Evening,6,4,Habit,Smartphone,iOS,8,2,At home,Mobile Data,2,1
24,50,Male,Germany,82424,True,True,Waiting staff,Rural,TikTok,162,10,Jokes/Memes,7,7694,3,29,15,31,Evening,6,4,Boredom,Smartphone,Android,8,2,At home,Mobile Data,0,3
25,29,Male,Japan,65603,True,False,Labor/Worker,Urban,TikTok,136,18,Jokes/Memes,29,4830,1,14,46,48,Afternoon,5,5,Entertainment,Smartphone,Android,7,3,At school,Wi-Fi,0,3
26,39,Male,Japan,43252,False,True,Students,Rural,YouTube,246,14,Gaming,20,7546,1,22,44,61,Evening,6,4,Habit,Smartphone,Android,8,2,Commuting,Mobile Data,2,1
27,61,Other,Vietnam,21431,False,False,Manager,Urban,Instagram,64,18,Life Hacks,6,7368,9,15,3,52,Night,3,7,Habit,Smartphone,iOS,5,5,At home,Wi-Fi,3,2
28,42,Female,India,94603,True,True,Labor/Worker,Rural,TikTok,181,8,Entertainment,7,9834,9,14,32,38,Evening,6,4,Boredom,Smartphone,MacOS,8,2,At work,Mobile Data,0,3
29,44,Male,India,57481,True,False,driver,Urban,TikTok,118,10,Pranks,5,2160,5,16,10,91,Evening,6,4,Entertainment,Smartphone,Android,8,2,At home,Wi-Fi,0,3
30,59,Male,United States,29557,False,True,driver,Rural,Instagram,193,13,Pranks,21,5878,9,23,40,36,Morning,8,2,Habit,Smartphone,iOS,10,0,At school,Wi-Fi,2,1
31,45,Male,United States,94971,True,False,Students,Rural,Facebook,207,8,Jokes/Memes,18,7663,7,29,38,87,Afternoon,5,5,Habit,Smartphone,Android,7,3,At home,Mobile Data,4,4
32,33,Male,India,20162,False,True,Labor/Worker,Rural,Instagram,96,4,Trends,23,3749,9,15,22,55,Night,3,7,Boredom,Tablet,iOS,5,5,Commuting,Mobile Data,3,2
33,32,Other,Mexico,54742,True,False,Waiting staff,Rural,Facebook,210,4,Trends,12,2922,7,19,14,85,Evening,6,4,Entertainment,Smartphone,Android,8,2,At work,Mobile Data,4,4
34,64,Female,Vietnam,39675,False,True,Students,Rural,TikTok,284,5,Entertainment,6,6486,9,27,17,13,Evening,6,4,Entertainment,Tablet,iOS,8,2,At school,Mobile Data,2,1
35,61,Other,Mexico,93997,True,False,Students,Urban,TikTok,220,1,Jokes/Memes,27,8112,2,9,21,37,Night,3,7,Procrastination,Smartphone,Android,5,5,At home,Wi-Fi,1,0
36,20,Male,United States,37015,False,True,Labor/Worker,Rural,TikTok,127,17,Entertainment,1,8771,8,5,48,47,Night,3,7,Entertainment,Tablet,Android,5,5,At home,Mobile Data,3,2
37,54,Male,Philippines,70057,True,False,Students,Urban,YouTube,200,2,Jokes/Memes,4,3804,7,5,15,90,Afternoon,5,5,Boredom,Smartphone,iOS,7,3,At school,Wi-Fi,4,4
38,24,Male,Barzil,52591,True,True,Cashier,Rural,YouTube,51,8,Jokes/Memes,19,4878,6,11,15,71,Night,3,7,Habit,Smartphone,Android,5,5,At home,Mobile Data,1,0
39,38,Male,Germany,29833,False,False,Students,Rural,YouTube,51,7,ASMR,12,2368,5,28,1,22,Afternoon,5,5,Boredom,Tablet,Android,7,3,Commuting,Mobile Data,2,1
40,26,Male,Pakistan,27896,False,True,Waiting staff,Urban,Instagram,285,15,Comedy,15,8093,4,20,24,39,Evening,6,4,Boredom,Smartphone,Android,8,2,At work,Mobile Data,2,1
41,56,Male,India,52972,True,False,Students,Urban,TikTok,26,5,ASMR,3,3932,7,25,12,87,Evening,6,4,Habit,Smartphone,Android,8,2,At school,Mobile Data,0,3
42,35,Other,Indonesia,69733,True,True,Cashier,Rural,TikTok,292,2,Life Hacks,23,5608,3,24,10,58,Morning,8,2,Entertainment,Tablet,MacOS,10,0,At home,Mobile Data,4,4
43,21,Female,Pakistan,61800,True,False,Waiting staff,Rural,Instagram,267,7,Gaming,27,6635,8,28,46,30,Night,3,7,Entertainment,Tablet,Windows,5,5,At school,Mobile Data,1,0
44,42,Other,Philippines,25347,False,True,Labor/Worker,Urban,YouTube,72,8,Gaming,28,6395,2,4,42,18,Evening,6,4,Boredom,Smartphone,iOS,8,2,Commuting,Mobile Data,2,1
45,31,Female,Pakistan,79063,True,False,Waiting staff,Rural,Instagram,71,7,Comedy,26,6101,1,20,42,18,Evening,6,4,Procrastination,Smartphone,Windows,8,2,At home,Mobile Data,4,4
46,26,Male,Vietnam,22643,False,True,Labor/Worker,Rural,YouTube,109,7,Trends,20,9292,2,18,31,74,Afternoon,5,5,Procrastination,Smartphone,MacOS,7,3,At school,Mobile Data,2,1
47,43,Male,Japan,60785,True,True,Students,Rural,TikTok,28,14,Pranks,28,9862,9,25,11,39,Night,3,7,Entertainment,Tablet,Android,5,5,At work,Mobile Data,1,0
48,19,Female,India,38681,False,True,Students,Rural,Facebook,26,18,Trends,8,5531,5,3,16,94,Evening,6,4,Boredom,Tablet,Android,8,2,At school,Wi-Fi,2,1
49,37,Male,United States,70026,True,True,Students,Urban,YouTube,255,6,Life Hacks,11,4970,8,4,9,26,Afternoon,5,5,Procrastination,Smartphone,iOS,7,3,At home,Mobile Data,4,4
50,45,Female,United States,35892,False,False,Waiting staff,Rural,TikTok,260,4,Entertainment,16,6344,3,14,47,71,Afternoon,5,5,Entertainment,Tablet,Windows,7,3,At home,Wi-Fi,2,1
51,64,Other,Mexico,67299,True,True,driver,Rural,TikTok,90,10,Entertainment,9,8408,7,7,14,7,Evening,6,4,Entertainment,Tablet,iOS,8,2,At home,Mobile Data,4,4
52,24,Male,Germany,37073,False,False,Students,Rural,Facebook,48,18,Pranks,3,375,2,26,19,69,Evening,6,4,Boredom,Tablet,MacOS,8,2,Commuting,Mobile Data,2,1
53,61,Male,Vietnam,50682,True,False,driver,Rural,TikTok,45,12,Trends,5,7887,8,8,31,65,Afternoon,5,5,Procrastination,Computer,Android,7,3,At work,Mobile Data,4,4
54,25,Other,India,34289,False,False,Cashier,Rural,TikTok,206,16,Life Hacks,20,1609,7,24,9,46,Evening,6,4,Habit,Smartphone,iOS,8,2,At home,Mobile Data,2,1
55,64,Male,Japan,27927,False,False,Manager,Rural,YouTube,167,7,Life Hacks,14,2939,5,16,36,18,Night,3,7,Boredom,Smartphone,Android,5,5,At home,Wi-Fi,3,2
56,52,Male,Indonesia,68330,True,False,Labor/Worker,Rural,YouTube,213,6,Jokes/Memes,28,4062,4,20,39,13,Afternoon,5,5,Entertainment,Smartphone,Android,7,3,At school,Mobile Data,4,4
